,superkingdom,phylum,class,order,family,genus,species,tax_id,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,barcode25,barcode26,barcode27,barcode28,barcode29,barcode30,barcode31,barcode32,barcode33,barcode34,barcode35,barcode36,barcode37,barcode38,barcode39,barcode40,barcode41,barcode42,barcode43,barcode44,barcode45,barcode46,barcode47,barcode48,barcode49,barcode50,barcode51,barcode52,barcode53,barcode54,barcode55,barcode56,barcode57,barcode58,barcode59,barcode60,barcode61,barcode62,barcode63,barcode64,barcode65,barcode66,barcode67,barcode68,barcode69,barcode70,barcode71,barcode72,barcode73,barcode74,barcode75,barcode76,barcode77,barcode78,barcode94,barcode95
0,Bacteria,Acidobacteria,Vicinamibacteria,,Vicinamibacteraceae,Vicinamibacter,Vicinamibacter silvestris,1612172,0.0742437485981307,0.0576053585402435,0.0799297196941732,0.0799676894155437,0.0468471093500464,0.0986909005418422,0.0516444278781382,0.0806305870736903,0.0907510151250713,0.0319327888835209,0.0632778142162418,0.0829049118171938,0.0644327994731315,0.0883673368183187,0.0692885087473625,0.0328843272025246,0.0736910314735314,0.0677537611526163,0.0825054690714197,0.0397275859429431,0.06732273070901,0.0830450599574695,0.0666592928559981,0.0911277318737747,0.0396273552841251,0.058104034088487,0.1029089239357471,0.0720424027150542,0.0555197527783023,0.0601128373190114,0.0405267661551354,0.0677085261705415,0.0988030327000434,0.0886647159508158,0.0575561943442015,0.0599627129576449,0.1017440164766245,0.0777666669220255,0.1052307119675043,0.0346659766327179,0.1221097430336857,0.0989286302682655,0.053770990182913,0.1019826075356417,0.0764747765418341,0.0664585514230041,0.0819497082272514,0.0602573283077997,0.1157987166329653,0.0874026698214039,0.0387072993098343,0.0775620349153254,0.089938520640715,0.0972641574524535,0.0774813357442968,0.0750672536442041,0.1239715916840023,0.0739341217302196,0.0690036100011288,0.0730924865073058,0.0895773497624432,0.0723269118517209,0.0356641716979427,0.0835754258489715,0.0535000077982529,0.0766395086289913,0.0994326182739625,0.098467588727354,0.0880338649983024,0.0562074538714632,0.0913408777236386,0.0475042196351409,0.0825679094670568,0.1087996801916296,0.1120928064099273,0.044275606289553,0.1103611794812717,0.1079063729785544,,0.0773137527404315
1,Bacteria,Cyanobacteria,,Oscillatoriales,Coleofasciculaceae,Geitlerinema,Geitlerinema sp. PCC 7407,1173025,0.0072177111795887,0.0060471727640114,,,,,0.0031077555503101,0.003186858067672,,,,,0.0022136311794282,,0.018506182897779,0.0133070912479358,0.0036225268319662,0.001460599510889,0.0019467591562796,,0.0198493923128129,0.0031229167117991,0.0033259962813533,0.0042973281145398,,0.0056254460445886,,0.0013768110957887,0.0282177971303103,,0.0037544801973643,,,,,0.002318351704773,0.0128113688657931,0.0043951011533523,0.0114268361714248,,,,0.003340581179664,,0.0022610844398001,,0.0033536149824967,0.0201489698718629,,0.0029382275655602,0.0085702082339617,0.0045390482860472,,,0.0019851104962982,0.0056622821978174,,,0.0011333661155624,0.0033127652948313,,0.0106815907667388,0.0117816350678535,0.0300930632670876,,,,0.0039120798296825,0.0049846025578191,0.0028470853814736,,0.0029579551783148,0.0032621216890165,0.0036208392013792,,,,,0.0179495993490298,
2,Bacteria,Cyanobacteria,,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria nigro-viridis,482564,0.0063584549193395,0.0350784253034658,0.0050011729192589,0.003429779613691,0.0025787174372357,0.0009352897449781,0.0400603507167281,0.0100882352887217,0.0118130895962664,0.0032479938861291,0.0077420176050362,0.0048906815698659,0.0147706250613311,,0.0485211718465629,0.0932678547788988,0.0062586736759061,0.0047461895576979,0.0220625223852091,0.0057169214798194,0.0226343233640573,0.0048529784941869,0.0104699418051103,0.0136682859405656,0.0160229531702727,0.0049952348673588,,0.0067469179128382,0.0269359655878613,0.0051222708612134,0.0117550609851367,,,0.0041748650117361,0.0033117225640633,0.0167435945306976,0.0549186888664252,0.043446351415931,0.0324798618248,,0.002680999389197,0.0056666545657274,0.0073124918115884,0.0061429759951332,0.0153256221517859,0.0074307974873895,0.0068738586681844,0.0422338434245068,0.0169372752937131,0.0061524820907552,0.0195878728205832,0.0196445633766222,0.0020107696984652,0.0061967899265401,0.007431412344652,0.0088401747950152,0.0303842694198426,0.0017814851730515,0.0041918277770524,0.0074785193387237,0.0091247578277894,0.0155015976312118,0.0119748026117978,0.0132837838127849,0.0016793821562783,,0.0035391750357951,0.005444500419418,0.0085264575777588,0.0034971159147093,,0.0214267431959553,0.010922399938466,0.0063011429208676,,0.0038395794933283,,0.0030172012727091,0.0643367605880702,
3,Bacteria,Cyanobacteria,,Oscillatoriales,Gomontiellaceae,Crinalium,Crinalium epipsammum,241425,0.0168092616185738,0.0033379517764948,0.0228045337473908,0.003329030675574,0.0025723601777082,0.0043748779400417,0.0035296983413576,0.0182096555996412,0.0055835601890161,,0.0128659103534907,0.0100988267404101,0.0045938954431738,0.0084293057406972,0.0100343456848503,0.0027030677080759,0.0076578379971376,0.0033048329782585,0.0024299881677024,0.0012690778647459,0.005703838261362,0.0119179551335335,0.0093235107324807,0.0414607009451876,0.0069002261911073,0.0024468003925913,,0.0028796661600511,0.0058842855500887,,0.0025269317443119,0.0088634994643334,0.0034046851950694,0.0043562014366621,0.0129840740234813,0.0171500858100891,,0.0083370766513248,0.0073169546272859,,,0.0058697615349195,0.0063258832174267,0.0094781590525654,0.0065669326510513,0.0135526314565587,0.0056604470229229,0.0067900260441823,0.0176887634659837,0.0078889312552926,0.004761633452772,0.0069523715404961,0.0062752694940305,0.0103586335655493,0.0034290184721892,0.0137551785568147,0.0146715519517682,0.005013876468376,0.0075872608942213,0.0072992854153616,0.0157869658346383,0.0118055755614696,0.085089608224069,0.0031249237590432,0.0028131989582753,,0.0064116119112599,0.0060854990059429,0.0034492202314083,0.0190687935893788,0.0075047207887492,0.0057268097323189,0.0075115322432491,0.002849055686714,,0.0024328822664642,,0.0054042716015304,0.5101968869155014,
4,Bacteria,Cyanobacteria,,Chroococcidiopsidales,Chroococcidiopsidaceae,Aliterella,Aliterella antarctica,1827279,0.004712679604648,0.0015598983957984,0.0068700446496347,,,0.0014770067595786,,0.0021939997633257,,,0.0031157081217026,,0.0018440733973648,,0.0048194117080217,0.002516433047323,,0.0012754961778168,0.0032744211822964,,0.0046984536305227,0.0034974026997626,0.0027164347867267,0.0089836318850809,,,,0.0011103667087812,0.0036840344816966,,0.0012924788860486,,,,0.0023612587514051,0.003040444952311,,0.0025887676978075,,,,,0.0013740999657069,,0.0021568142278027,,0.0016989590863058,0.0040387915358557,,0.0018268729550328,,0.0012419542789816,,0.0027745445540294,,0.003154852134788,,,0.0014241129607835,0.0023391463528731,,0.0028919595755853,0.0142006813131568,0.0016744302929288,,,,0.0022780742711468,,0.0033904817272183,0.0013856348484009,,0.0021130223304308,0.0012568004851731,,,,,0.0043906894449292,
5,Bacteria,Cyanobacteria,,Chroococcales,Chroococcaceae,Gloeocapsa,Gloeocapsa sp. PCC 7428,1173026,0.0081107156255165,0.0014266349209387,0.0118369196053313,0.0021802880970161,,0.0014780706898717,,0.0085748080967237,,,0.0047232063232579,,0.00188622188373,,0.0068311635914003,,0.0031424079286489,,0.0025567810941412,,,0.004767948647506,0.0031494570591918,0.0139183072136996,,,,0.0012064055863871,0.0031730974620731,,0.0008575411235373,0.0036767662086556,,,0.0033485889204779,0.0049976755150548,,0.00454696271432,,,,,0.0025777396281801,0.0047249318501804,0.0022457568082799,0.0068419622216024,0.0035159999072773,0.0027254071672417,,0.0024322361481684,0.002169037529101,0.002112002817649,0.0023267853407865,0.0056800989964858,0.0022369169860736,0.0048236415794822,,,0.0017721695259958,0.0029214701280577,,0.003317446452919,0.0191752620539856,0.0021424077328755,,,0.0028553701174329,0.0038001000212615,,0.0058091496363388,0.0024228197820913,0.00235101799958,0.0019039665876218,0.0018653225941884,,,,,0.0831307108977384,
6,Bacteria,Planctomycetes,,,,,Planctomycetes bacterium Pla85_3_4,2528010,0.0043867808390812,0.001877535184315,0.0050785037891988,0.0022731356555816,0.0021714775967348,0.0027949093347728,0.0026375698933602,0.0027203614956009,0.0049624433881181,,0.0037401461970373,0.0035265995818205,0.0027192091326214,0.0041119022348898,0.0033669654269541,0.001851768664154,0.0046902632570085,0.0035013720127348,0.002219644103604,0.0012775643855801,0.003667482463919,0.0028334980892324,0.0023623155039833,,,0.0015157353433454,0.0047043925324634,0.0035471818126241,0.0026353957043831,0.0021494229045923,0.001532147194058,0.0029142945774041,0.0033774177256059,0.0029918973038781,0.0033823537982109,0.0022302516472978,0.0062290959424469,0.0049467870715392,,0.0021960784555085,,0.0032393994473875,0.002309629194042,0.0044529650289708,0.0029207056841024,0.0069464181403333,0.0029419837111196,0.0032756289463296,,0.0029433815646616,0.0020486881864657,0.0029529858927031,0.0033691692066937,0.0023930259138131,0.001856351737701,0.0029786980396346,,0.0030172900290488,0.0029587094086416,0.0035457111633219,0.00754660549272,0.0031956269585477,0.0015114481564375,0.0035626786728797,0.0024589708615385,0.0027851739726794,0.0031288651048553,0.0027922429697452,0.0026167808139966,0.003416230024125,0.0037385487181738,0.0011098977471207,0.0029201218386464,0.0027751681210926,0.0053885068000822,0.0015802450059874,0.0035846002698803,0.0033705793240534,,
7,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter spartanus,1933902,0.0042063610728223,0.0029376903827944,,0.0020930668959291,0.0015933948028414,0.0034103145806811,0.0027700176031548,0.0033805883357121,0.0038886477723089,,0.0039700477445957,0.0024673015895748,0.0030952319604969,,0.0020413064351694,0.0018009706864578,0.0025578595648183,0.0022409308088434,0.0031153443100038,0.0018738831793258,0.0031250628460942,0.0028700538256089,0.0025430284256278,,,0.0022774838239428,0.0039613069502005,0.0027103223142405,0.0020697436091897,0.0022249876947224,0.0015166522362625,0.0039361334613275,0.0040358211049631,0.0031680439560181,0.0028814963175886,0.0035520035916019,0.0042122769483622,0.0032587553173315,0.0047423571779117,0.0018814678863555,0.0041184887674623,0.0035217796078667,0.0020096119175587,0.006032405404298,0.0024535668898956,0.0047268960850456,0.0034604804172505,0.0043991375359554,,0.0047809342438618,,0.0026172945046305,0.0035989714332584,0.0062316741492706,0.002650057132715,0.0025675444476919,,0.0024704917989617,0.0024975642730501,0.0034268386465045,,0.0033050450690234,0.0013885810379608,0.0031924375274509,0.0021506057243337,0.0026508543197488,0.0044445620133686,0.0040282527595849,0.0037331787688103,0.0022003682159412,0.0031929511454022,0.0023389204888747,0.0024620802678985,0.0031415202411962,0.0062823483913935,0.0033372899498914,0.0033857837575034,0.0028667822104077,,0.0045210965697094
8,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter xylanophilus,49319,0.002999762472685,0.0029525111214072,0.0044160396271954,0.0026167413305589,0.0018771575360285,0.0039534844597218,0.001931965798262,0.0039901095219308,0.0038888556129814,,0.003354318277046,0.0027076295719953,0.0030322879445258,0.0039794050096269,0.0019217498597533,0.0012133947355476,0.0032178121424752,0.002855711386427,0.0036749308391484,0.0017928429896421,0.0042460888009925,0.0038852681337967,0.0035013986986788,0.0071498394156317,,0.0020804214146179,0.0034346659542729,0.0028125614374177,0.0026982014938958,0.0030072511100188,0.001747229808333,0.0029124393650235,0.0044365257539646,0.0052057368948558,0.003688107700418,0.0030936130597589,0.0041884718319444,0.0046710243652048,0.0079836437962273,,0.0037366265606105,0.0038924572501029,0.0021390079723265,0.0043632432111987,0.0023525990744981,0.0036333313212584,0.00423819532158,0.0044087992413141,,0.0058425819807058,0.0021788716779857,0.0035218502271397,0.005382032685176,0.0040466111895125,0.0034313163257956,0.0031421102123495,0.0051654548711956,0.0036719404880445,0.0033270569886381,0.0044640770898319,,0.0037204786547575,0.0015065295101719,0.0036421343790804,0.002038813816445,0.0017805680088222,0.0050960544202077,0.0046609503238278,0.0046129802611542,0.0030081668945819,0.0039457537325306,0.0018907045881641,0.0030610984272311,0.0034132206808512,0.0065048480957846,0.0022872197514857,0.0055537922558763,0.0041577724586491,,0.0056558631418732
9,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Paraflavitalea,Paraflavitalea soli,2315862,0.0036923068906677,0.0020803292130951,0.0060993906053497,0.0017528130003318,0.001730473058128,0.0013931783372769,0.0019740907836165,0.0017800366342834,0.0034135532205385,0.0036109396503593,0.0034915352764512,0.0019901790005448,0.0013565720478555,,0.0022707677612747,0.0014623305331719,0.0032122711758821,0.0026979631968607,0.0017536058365892,0.0015185024575227,,0.0043313114892353,0.003726638165249,,,0.0021705474237132,,0.0021360696663925,0.0015895788188346,0.0017198856364871,0.0014995327454176,0.0028034626824658,0.002481755882415,,0.0103592269688832,0.0020311510245106,,0.0029949169650386,,0.0021934081217341,,0.005133416688785,0.0029010230113929,0.0025305254993597,0.0018979433080631,0.0060075367329997,0.0038185239320195,0.0027141164915472,,0.0028570845065924,0.001625547408913,0.0015945448542582,0.0022969548502236,,0.0020135097935675,0.002243756759251,,0.0017771757779644,0.0022695803145315,0.0022939217384257,,0.0017191651388129,0.0012857710585355,,0.0016211550500457,0.0025490908104004,0.0024810737385977,0.0020953159979284,0.0018411743467326,0.0029243645084641,0.0014655733810814,0.0019260567659862,0.0018422639378773,0.0016434777699386,,0.0020562329421417,,0.0025250425396896,,0.0046459095923103
