,superkingdom,phylum,class,order,family,genus,species,tax_id,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,barcode25,barcode26,barcode27,barcode28,barcode29,barcode30,barcode31,barcode32,barcode33,barcode34,barcode35,barcode36,barcode37,barcode38,barcode39,barcode40,barcode41,barcode42,barcode43,barcode44,barcode45,barcode46,barcode47,barcode48,barcode49,barcode50,barcode51,barcode52,barcode53,barcode54,barcode55,barcode56,barcode57,barcode58,barcode59,barcode60,barcode61,barcode62,barcode63,barcode64,barcode65,barcode66,barcode67,barcode68,barcode69,barcode70,barcode71,barcode72,barcode73,barcode74,barcode75,barcode76,barcode77,barcode78,barcode79,barcode80,barcode92,barcode93,barcode95,barcode96
0,Bacteria,Acidobacteria,Vicinamibacteria,,Vicinamibacteraceae,Vicinamibacter,Vicinamibacter silvestris,1612172,0.0621629598384186,0.049264104726551,0.0536268311565455,0.0788456153088088,0.0834290339680927,0.085896426036958,0.0250267104125599,0.0438601544048631,0.055108789879447,0.071869545945956,0.0649240506175524,0.0467640055153717,0.042240088532576,0.1067703118289691,0.0453334869298177,0.0613147761800095,0.1287109311768571,0.0487505804111424,0.1147424811958193,0.0376577577367326,0.1061714492755226,0.0573169387516645,0.0404932058116832,0.0438123236310003,0.1045803336898245,0.0690740681548377,0.0841465871915981,0.0399875137931463,0.0681736153894636,0.0827276535788359,0.0296254636294661,0.0964344125657082,0.0485524777089577,0.0644714279182396,0.050828221858949,0.0629575473709795,0.0587540890109494,0.0510955773173323,0.084600333399117,0.073925881308774,0.1035422869205214,0.0591883756919802,0.056768177796122,0.0595683074167469,0.0916544245216008,0.084358757553326,0.06000552219004,0.0582844448772222,0.0845716274287304,0.0535767036218057,0.0829359085766464,0.0613526426047984,0.0376718237997485,0.0615075832906848,0.0855722911049865,0.0625984401864377,0.0608311513508269,0.0713998789065057,0.0548187945475144,0.0317821391525293,0.0685380323426162,0.0835011700734024,0.0572137751653024,0.0777683877089339,0.0926473686863204,0.1232512798995652,0.0775680973030791,0.084317796140983,0.0622488402407981,0.0581130627502902,0.0869502310995082,0.0909418756397015,0.086495912766457,0.0099522833232233,0.0833798867582301,0.0671789860852734,0.1005063341421111,0.0869077355916995,0.0798659918149179,0.0956796208185432,,,0.0606294348698816,
1,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,Stenotrophobacter roseus,1603869,0.0053572296894875,0.0053976399941787,0.0055352889902043,0.0040110407140854,0.0036287632508242,0.0048977859013507,0.0025854857127762,0.00390966973029,0.0040691675703046,0.0055872340370094,0.0049270756692778,0.0039055739011385,0.0054921566592781,0.0044018174379556,0.0029515117261407,0.0042221410214961,0.0054793450534036,0.0024905979162874,0.0062346719848183,0.0030713949955568,0.0049485062175771,0.0047690180121716,0.0039242262802457,0.003875685974262,0.0051645109552421,0.0041914869282058,0.0040089409224801,0.0035533508471826,0.0034741714312835,0.0034043958744939,0.0022174906634668,0.0037372600281829,0.003092480769001,0.0061950558402287,0.0038431017901517,0.0044562683573601,0.0040144014357135,0.002977281841965,0.0044361810957838,0.0029049359188903,0.0039716399867891,0.0029044012505746,0.0043311343137417,0.0045214667597317,0.0052805220195151,0.005337576838119,0.0042277782585432,0.0045569201495911,0.0038257490474221,0.0032498208571921,0.0033398875288634,0.0044355905192857,0.0041605645590845,0.0042101110259721,0.0038442881228503,0.0042802011748076,0.0029883747707198,0.0045047671749229,0.0031172455162847,0.00451307863314,0.0031495188161162,0.0036213876352676,0.0019659352887107,0.0022685533844103,0.0040924756338075,0.0037442248393979,0.0030688613963446,0.0020303061321746,0.0028098829591208,0.0030031561197046,0.0041796201709793,0.0022333724507307,0.0040813979656374,0.0009330405471416,0.0034290670382461,0.0043363116660467,0.0044279265580434,0.0038345486076563,0.0045136348561032,0.0047888933595202,,,0.0013170071455337,
2,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,Stenotrophobacter namibiensis,1603871,0.0022407126763606,0.0045642711130736,0.003768111414074,0.0025077500840119,0.0030408516730739,0.0035714045343558,0.0014637886631807,0.0025961307206827,0.0026358876075883,0.0030734029314739,0.0031555688028262,0.0035517775317689,0.0026495433102591,0.0026396331339568,0.0025030574054771,0.0030062117257208,0.0034562479529501,0.0020513658191482,0.0028689707695219,0.0020964476749568,0.0021954779705165,0.002921114830785,0.0025832126905682,0.002612037039677,0.0032220664722141,0.0028122648265729,0.0023487695580819,0.0025558334633778,0.0025290992573958,0.0030960963213925,0.0023302648938335,0.0029451650579936,0.0022755881700361,0.0025642156122376,0.003349548457927,0.0023485470901649,0.0028412577380222,0.0019016686381563,0.00263249414229,0.002004796285814,0.0031221733221451,0.0022422079114711,0.0026837429556245,0.0038002406091337,0.00307068676572,0.0032455593090072,0.0029884203711273,0.0027484337469895,0.0040126885860506,0.0016171965812066,0.0028744105417818,0.0024369390848874,0.00263312049646,0.002522637203355,0.002188444346259,0.0027008416799907,0.0021440058674866,0.0025562194037389,0.0021766669301319,0.002120975081474,0.002172198830179,0.0023223740801585,0.001551771605219,0.0021001965486664,0.0025632766376758,0.0020226792753516,0.0022701714378402,0.0016495960155781,0.0020067619033275,0.0017087643349553,0.0020482890839377,0.0010655497901023,0.0022555528972042,0.0005598975065324,0.0021722590420529,0.0023109782034022,0.0035941056291213,0.0032908688203817,0.0028769337453035,0.0023402250028813,,,0.0004663342702028,
3,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,Stenotrophobacter terrae,1458337,0.0086176033770122,0.0097809453979425,0.0110763484772075,0.0073742468915218,0.0080958065221157,0.0094468249743706,0.0035600688677167,0.0054176700624279,0.0059749496663916,0.0086088418628291,0.009255093649449,0.0062591195028372,0.0077359510324247,0.0071065118524346,0.0037489377322677,0.0081656908133105,0.0103794923486923,0.0045491545138732,0.0093814524035956,0.0053205482495249,0.0070254833816437,0.0068973258056614,0.0075155477824556,0.005743779494684,0.0095658401732095,0.0085123971900791,0.0067315826772902,0.0049856028114815,0.0085344074200599,0.0073941409626124,0.0049555859769255,0.006171174065045,0.0055269629354667,0.0089641728296206,0.008634216177844,0.0071476778519615,0.0092406603727518,0.006270947711887,0.0067638626308101,0.0045919354090996,0.0080803774128206,0.0046277916036737,0.007187338902787,0.0077742622626734,0.0090659587976282,0.0078774657292761,0.0073796872521296,0.0083148525827461,0.0092509900424073,0.0053217265827242,0.00628037646157,0.006696324087795,0.0063315659844702,0.0084797689555843,0.0076835091522471,0.0073200451192017,0.0069676666416319,0.0087055049729779,0.0077187736896437,0.0065722700260872,0.007822783687975,0.0057672141958815,0.0035909632463495,0.0041161145646258,0.0071842959918196,0.0064813817426819,0.0051888336869814,0.0061013043970146,0.0060352602828176,0.0043567834411367,0.0078642293459977,0.0071835444851229,0.0069467814743935,0.0012656496411619,0.0044125690716552,0.0062423096905079,0.0077910920010205,0.007574853762608,0.0072444932888361,0.0095869475789435,,,0.0032649231459724,
4,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,Aridibacter nitratireducens,1911421,0.001167489661762,0.0068436848057432,0.0042907882309982,0.0014338976712825,0.0014725908131615,0.0018546464435739,0.0027631977903243,0.0016923714638179,0.0025856619586881,0.0014231318879469,0.0028302477910075,0.0023316942614657,0.0029744958220554,0.0019672240013079,0.0028246325522123,0.002341996219276,0.0017644240826836,0.0007732144220251,0.0011316750620288,0.0029213088972817,0.0010068656249852,0.0028122230538376,0.0018263746830377,0.0023624694829619,0.001124159975231,0.0059203634854872,0.0020712996799727,0.0025444633981923,0.0008946766685263,0.0009325027074807,0.0017387490215517,0.001495635440822,0.0017254827198661,0.003114318420637,0.0021027149774528,0.0010894498791267,0.0048880181207472,0.0010509240558609,0.0021897952533895,0.0023709210941562,0.0018732233544392,0.0015105626930658,0.001385707706855,0.0017281581075342,0.0008765179731205,0.0027913799788649,0.0015074357553417,0.0013512108159014,0.0016619860220892,0.0022372910441252,0.0030052625051252,0.0017163262388567,0.0069817350765001,0.0038697651255221,0.0012446841150278,0.0019221583804152,0.0034303921677423,0.0017389912823425,0.0042017977453014,0.0017919692034036,,0.0012565159121205,0.0017664023348693,0.0021646895251214,0.0008097436503786,0.0014084594797012,0.0009557099722833,0.0025455990445941,0.0020005962388683,0.0005594091341788,0.0011879129929577,0.0006890936825863,0.0008702008685493,0.0019113700164222,0.0018606008469526,0.002454078764916,0.0019894584581548,0.0019458715862831,0.0030742122330614,0.0012509129943162,,,0.0015694280130645,
5,Bacteria,Acidobacteria,Vicinamibacteria,,Vicinamibacteraceae,Luteitalea,Luteitalea pratensis,1855912,0.0174199824223721,0.0178466522637263,0.0157472289806938,0.0233433624321038,0.0231461606064101,0.0228810694867613,0.0086343104378015,0.012895536792638,0.0196169469360782,0.0183439555146877,0.0179272391514031,0.0122846548256556,0.0142871132268757,0.0283813947181401,0.0155351730369657,0.0194927373909939,0.035234031788782,0.0152290571037392,0.0330557791634901,0.0123048571868174,0.0323983602870604,0.0166842147701566,0.0121551092951838,0.0137558596605961,0.0301354541365335,0.0250599127072642,0.0220245349870189,0.0140909388973601,0.0204910233093027,0.0233958364894399,0.009639851143584,0.0284713655847823,0.0167540373285189,0.0213999380592251,0.0154172158177908,0.0192119549592119,0.0186039666007507,0.0171898929625788,0.0241682053383045,0.0233976430923754,0.0307617576023061,0.0202055803050879,0.0169407087094382,0.0187016893671065,0.0245286893237244,0.0240982911798526,0.0202042053640693,0.01833630259803,0.0253555615360433,0.0187934152627119,0.0282707265305296,0.0170400480997205,0.0160436470335506,0.0207150806306731,0.0242404340244726,0.0178737908355952,0.0212696173718519,0.0206096856465246,0.0181349295251108,0.0098098084232378,0.0163625664741891,0.0267265672598718,0.0188723619832625,0.0252702362566887,0.0261933059814134,0.0362550440281561,0.0234897717820433,0.0261792361325724,0.0201358468578436,0.0185648398940447,0.0238359341152058,0.0219602406498391,0.0261547279050491,0.0051005533568532,0.0287448616930148,0.0195494563216817,0.0304831915355155,0.0229689597753855,0.0246293814992087,0.0298375617250885,,,0.0109192759523442,
6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax ginsengisoli,363844,0.0015630258952453,0.0015965476282477,0.0026658320079834,0.0011828123065601,0.0011936613600539,0.0011730586716438,0.0016936108866532,0.0010492574352062,0.0024866019576926,0.001557218893804,0.0019507882566576,0.0014899229152883,0.0017640822786783,0.0014074192776232,0.0026968081902138,0.0022052936128681,,0.0015493389900122,0.0008342073379274,0.0026885885744948,0.0016451938938347,0.0028007732860837,0.0035358912146714,0.001293649960637,,0.0010606489845155,0.0016603304454774,0.0026789742552456,0.0013160084011706,0.00115380034544,0.0023940952760292,,0.0025633062014538,0.002743223300907,0.003181159838645,0.0010639523931483,0.0031262991974727,0.0013838133321892,0.0009911181306544,0.0011700521302205,0.0012189410783358,0.0016187942578357,0.0024913299173748,0.001306013567782,0.0016728697862593,0.0021225533344843,0.0013313561993312,0.0011953974966474,0.0027991643865526,0.0019724050965797,0.0015614102724211,0.0021580269864228,0.0018965668980422,0.0018691170861315,0.0011267029606783,0.0011792590236985,0.0020520004071584,0.0020687346256902,0.0015170770236103,0.0010723080303065,0.0012500352390344,,0.0006376866272509,0.0017380700522163,0.0008219410647445,0.0009278120463167,0.0007628024971847,,0.0014681708748141,0.000675067729743,0.0009740347460548,0.0004453567553096,0.0009879244162831,0.0014691203659456,0.0013533730388401,0.0014356593981332,0.001633542246943,0.00404533181145,0.0012425094945877,0.0012995454524931,,,,
7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax sp. PMC12,2126319,0.000663942399218,0.001262973612607,,0.0006127296260206,,0.0004071937404273,,0.000625890305948,,,0.0007255847068623,,,,0.000981291777282,0.0009398734667295,,0.0004123414920672,,0.0005641664259856,,0.0013420705102832,0.0015699489731448,,,,0.0006489147505355,0.0008275278713777,0.0008093162463142,,0.0004340221278236,,0.0005991882368995,,0.0008973000551043,,0.0007852749327868,0.0007674722374084,0.0007964012862621,,,,0.0005634487005219,,0.0006014338204695,0.0008531054089601,0.0007981471031668,,,0.0005517191694226,0.0006308724929049,0.0006622714001168,,0.0007723222817596,0.0003485302380237,,,0.0009672725526526,0.0003773591228417,0.0004535313369469,,,,,,,,,,0.0006513710017708,,,,0.0006333565617635,,0.0004234928277824,0.0007340654333034,,0.0005994086096423,0.0004997089087413,,,,
8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus,34073,0.0050781390144774,0.0035836750821601,0.007686884870712,0.0024782625665833,0.0018871933904981,0.002438561654327,0.0014534235269569,0.0012735135937908,0.0047123834697744,0.0017855671024504,0.0036653658504689,0.0034909180166673,0.0027049618311304,0.0027592117305032,0.0075702441388058,0.0085659414628876,0.0015177872241712,0.0051715042796934,0.0010252357801075,0.0024988086973181,0.0032023224822097,0.0137604352823987,0.0125461573322737,0.0026806536711268,0.0037480889383853,0.0032618623615319,0.0043149583587828,0.0073126172903916,0.0022072926977516,0.0020047774351067,0.0059962875350914,0.0039898621244593,0.0073367349542114,0.0052715273266219,0.0073882384145049,0.0023187456025075,0.0042293826416912,0.0040790203377725,0.0023726923726985,0.0037105415631907,0.0015192396934964,,0.0039313579914394,0.0075152973541535,0.0026306641058103,0.0044951347928896,0.0030909723186832,0.001826498131205,0.0049907907757695,0.0025151678725019,0.0059148301566366,0.0032701421878446,0.0041251631561593,0.0029896952315734,0.0023734433362281,0.0018519950888413,0.0021000935818933,0.0101004419436836,0.0035475187504973,0.0042451289542138,0.0032516064434016,0.0015606879170487,0.0012336559050329,0.0042273686097054,0.0014418579148164,0.0014913184041299,0.0012379995454235,0.0026818116200058,0.0026192840896558,0.0014310921938666,0.0013287426082234,0.0009763352823335,0.0010454833451479,0.0027873442387196,0.0023320141504091,0.0023479597232716,0.0037093065453547,0.0040241577073864,0.002706244726201,0.0018355561882749,,,0.0010990977295157,
9,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax sp. PAMC 28711,1795631,0.0009701734132728,0.0007252262666004,0.0010559214783938,0.0005552493382568,0.0006927796429466,0.0006073294985143,,0.000655822638215,,,0.0008398220684712,,0.0008255380426341,,0.0006926588294485,0.001041637278492,0.0011724636849953,0.0012077239783379,0.0006035356107704,0.0014889801529873,,0.0006679063430628,0.0007550623549317,0.0010627310629437,,,0.0011030468738078,0.0012190633559956,0.0006344833195314,0.0006873332806181,0.0009368089884707,,0.0014905644491108,0.0007880632430506,0.0005537653398395,,0.0006830317321896,0.0005805177833455,0.0007892223122382,0.0006011164691708,,,0.0005929714712835,0.0006252539629161,0.0008634239430102,,0.0006533602498773,0.0005895922071428,,0.0007742564351944,0.0006356573135122,0.0008470978196756,0.0007396702991123,0.0008561241535101,,0.0006970936957801,,0.0009889220950412,0.0007332835643563,,,0.0009277954365445,0.0005161159611734,,,,0.0006753093394744,,0.0006058016984575,0.0006456809894007,,,,0.0007353341279807,0.0013036175111586,,,0.0010217560131903,0.0006963478889554,0.0005342030557301,,,,
